Time,Process_Time [s],State,Temperature [Centigrade]
Thu Feb 16 14:42:42 2017,225,Initialization,24.0
Thu Feb 16 14:42:42 2017,226,Initialization,24.0
Thu Feb 16 14:42:42 2017,227,Initialization,24.0
Thu Feb 16 14:42:42 2017,228,Initialization,24.0
Thu Feb 16 14:42:43 2017,229,Initialization,24.0
Thu Feb 16 14:42:43 2017,230,Initialization,24.0
Thu Feb 16 14:42:43 2017,231,Initialization,24.0
Thu Feb 16 14:42:43 2017,232,Initialization,24.0
Thu Feb 16 14:42:44 2017,233,Initialization,24.0
Thu Feb 16 14:42:44 2017,234,Initialization,24.0
Thu Feb 16 14:42:44 2017,235,Initialization,24.0
Thu Feb 16 14:42:44 2017,236,Initialization,23.0
Thu Feb 16 14:42:45 2017,237,Initialization,24.0
Thu Feb 16 14:42:45 2017,238,Initialization,24.0
Thu Feb 16 14:42:45 2017,239,Initialization,24.0
Thu Feb 16 14:42:45 2017,240,Initialization,24.0
Thu Feb 16 14:42:46 2017,241,Initialization,23.0
Thu Feb 16 14:42:46 2017,242,Initialization,23.0
Thu Feb 16 14:42:46 2017,243,Initialization,24.0
Thu Feb 16 14:42:46 2017,244,Initialization,24.0
Thu Feb 16 14:42:47 2017,245,Initialization,24.0
Thu Feb 16 14:42:47 2017,246,Initialization,24.0
Thu Feb 16 14:42:47 2017,247,Initialization,24.0
Thu Feb 16 14:42:47 2017,248,Initialization,24.0
Thu Feb 16 14:42:48 2017,249,Initialization,24.0
Thu Feb 16 14:42:48 2017,250,Initialization,24.0
Thu Feb 16 14:42:48 2017,251,Initialization,24.0
Thu Feb 16 14:42:48 2017,252,Initialization,24.0
Thu Feb 16 14:42:49 2017,253,Initialization,24.0
Thu Feb 16 14:42:49 2017,254,Initialization,24.0
Thu Feb 16 14:42:49 2017,255,Initialization,23.0
Thu Feb 16 14:42:49 2017,256,Initialization,24.0
Thu Feb 16 14:42:50 2017,257,Initialization,24.0
Thu Feb 16 14:42:50 2017,258,Initialization,24.0
Thu Feb 16 14:42:50 2017,259,Initialization,24.0
Thu Feb 16 14:42:50 2017,260,Initialization,24.0
Thu Feb 16 14:42:51 2017,261,Initialization,24.0
Thu Feb 16 14:42:51 2017,262,Initialization,24.0
Thu Feb 16 14:42:51 2017,263,Initialization,24.0
Thu Feb 16 14:42:51 2017,264,Initialization,24.0
Thu Feb 16 14:42:52 2017,265,Initialization,24.0
Thu Feb 16 14:42:52 2017,266,Initialization,24.0
Thu Feb 16 14:42:52 2017,267,Initialization,24.0
Thu Feb 16 14:42:52 2017,268,Initialization,24.0
Thu Feb 16 14:42:53 2017,269,Initialization,24.0
Thu Feb 16 14:42:53 2017,270,Initialization,24.0
Thu Feb 16 14:42:53 2017,271,Initialization,23.0
Thu Feb 16 14:42:53 2017,272,Initialization,24.0
Thu Feb 16 14:42:54 2017,273,Initialization,24.0
Thu Feb 16 14:42:54 2017,274,Initialization,24.0
Thu Feb 16 14:42:54 2017,275,Initialization,23.0
Thu Feb 16 14:42:54 2017,276,Initialization,24.0
Thu Feb 16 14:42:55 2017,277,Initialization,24.0
Thu Feb 16 14:42:55 2017,278,Initialization,24.0
Thu Feb 16 14:42:55 2017,279,Initialization,24.0
Thu Feb 16 14:42:55 2017,280,Initialization,24.0
Thu Feb 16 14:42:56 2017,281,Initialization,24.0
Thu Feb 16 14:42:56 2017,282,Initialization,24.0
Thu Feb 16 14:42:56 2017,283,Initialization,24.0
Thu Feb 16 14:42:56 2017,284,Initialization,24.0
Thu Feb 16 14:42:57 2017,285,Initialization,24.0
Thu Feb 16 14:42:57 2017,286,Initialization,24.0
Thu Feb 16 14:42:57 2017,287,Initialization,24.0
Thu Feb 16 14:42:57 2017,288,Initialization,24.0
Thu Feb 16 14:42:58 2017,289,Initialization,24.0
Thu Feb 16 14:42:58 2017,290,Initialization,23.0
Thu Feb 16 14:42:58 2017,291,Initialization,24.0
Thu Feb 16 14:42:58 2017,292,Initialization,24.0
Thu Feb 16 14:42:59 2017,293,Initialization,24.0
Thu Feb 16 14:42:59 2017,294,Initialization,24.0
Thu Feb 16 14:42:59 2017,295,Initialization,24.0
Thu Feb 16 14:42:59 2017,296,Initialization,23.0
Thu Feb 16 14:43:00 2017,297,Initialization,24.0
Thu Feb 16 14:43:00 2017,298,Initialization,23.0
Thu Feb 16 14:43:00 2017,299,Initialization,23.0
Thu Feb 16 14:43:00 2017,300,Initialization,24.0
Thu Feb 16 14:43:01 2017,301,Initialization,23.0
Thu Feb 16 14:43:01 2017,302,Initialization,24.0
Thu Feb 16 14:43:01 2017,303,Initialization,23.0
Thu Feb 16 14:43:01 2017,304,Initialization,23.0
Thu Feb 16 14:43:02 2017,305,Initialization,24.0
Thu Feb 16 14:43:02 2017,306,Initialization,24.0
Thu Feb 16 14:43:02 2017,307,Initialization,24.0
Thu Feb 16 14:43:02 2017,308,Initialization,24.0
Thu Feb 16 14:43:03 2017,309,Initialization,23.0
Thu Feb 16 14:43:03 2017,310,Initialization,24.0
Thu Feb 16 14:43:03 2017,311,Initialization,24.0
Thu Feb 16 14:43:03 2017,312,Initialization,24.0
Thu Feb 16 14:43:04 2017,313,Initialization,23.0
Thu Feb 16 14:43:04 2017,314,Initialization,24.0
Thu Feb 16 14:43:04 2017,315,Initialization,24.0
Thu Feb 16 14:43:04 2017,316,Initialization,24.0
Thu Feb 16 14:43:05 2017,317,Initialization,24.0
Thu Feb 16 14:43:05 2017,318,Initialization,24.0
Thu Feb 16 14:43:05 2017,319,Initialization,24.0
Thu Feb 16 14:43:05 2017,320,Initialization,24.0
Thu Feb 16 14:43:06 2017,321,Initialization,24.0
Thu Feb 16 14:43:06 2017,322,Initialization,24.0
Thu Feb 16 14:43:06 2017,323,Initialization,24.0
Thu Feb 16 14:43:06 2017,324,Initialization,24.0
Thu Feb 16 14:43:07 2017,325,Initialization,24.0
Thu Feb 16 14:43:07 2017,326,Initialization,24.0
Thu Feb 16 14:43:07 2017,327,Initialization,24.0
Thu Feb 16 14:43:07 2017,328,Initialization,24.0
Thu Feb 16 14:43:08 2017,329,Initialization,24.0
Thu Feb 16 14:43:08 2017,330,Initialization,24.0
Thu Feb 16 14:43:08 2017,331,Initialization,24.0
Thu Feb 16 14:43:08 2017,332,Initialization,24.0
Thu Feb 16 14:43:09 2017,333,Initialization,24.0
Thu Feb 16 14:43:09 2017,334,Initialization,24.0
Thu Feb 16 14:43:09 2017,335,Initialization,23.0
Thu Feb 16 14:43:09 2017,336,Initialization,24.0
Thu Feb 16 14:43:10 2017,337,Initialization,23.0
Thu Feb 16 14:43:10 2017,338,Initialization,23.0
Thu Feb 16 14:43:10 2017,339,Initialization,24.0
Thu Feb 16 14:43:10 2017,340,Initialization,24.0
Thu Feb 16 14:43:11 2017,341,Initialization,24.0
Thu Feb 16 14:43:11 2017,342,Initialization,24.0
Thu Feb 16 14:43:11 2017,343,Initialization,23.0
Thu Feb 16 14:43:11 2017,344,Initialization,23.0
Thu Feb 16 14:43:12 2017,345,Initialization,24.0
Thu Feb 16 14:43:12 2017,346,Initialization,24.0
Thu Feb 16 14:43:12 2017,347,Initialization,24.0
Thu Feb 16 14:43:12 2017,348,Initialization,24.0
Thu Feb 16 14:43:13 2017,349,Initialization,24.0
Thu Feb 16 14:43:13 2017,350,Initialization,24.0
Thu Feb 16 14:43:13 2017,351,Initialization,24.0
Thu Feb 16 14:43:13 2017,352,Initialization,23.0
Thu Feb 16 14:43:14 2017,353,Initialization,24.0
Thu Feb 16 14:43:14 2017,354,Initialization,23.0
Thu Feb 16 14:43:14 2017,355,Initialization,23.0
Thu Feb 16 14:43:14 2017,356,Initialization,24.0
Thu Feb 16 14:43:15 2017,357,Initialization,24.0
